date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:32:06	23120/23120	---M--	200	added ('OK')	image/jpeg	etag:%22964c1493b6d33a4d559ebeeb990b333b:1438785240%22	http://media.blizzard.com/wow/legion-6a153ad2/images/artifact-maw-3-thumb.jpg	C:/Users/Niki/Desktop/legion/legion/media.blizzard.com/wow/legion-6a153ad2/images/artifact-maw-3-thumb.jpg	(from http://eu.battle.net/wow/en/legion/)
18:32:23	229410/229410	---M--	200	added ('OK')	image/jpeg	etag:%225a4890411c5d4077cfb9dd7424b5fb88:1438785240%22	http://media.blizzard.com/wow/legion-6a153ad2/images/artifact-maw-1.jpg	C:/Users/Niki/Desktop/legion/legion/media.blizzard.com/wow/legion-6a153ad2/images/artifact-maw-1.jpg	(from http://eu.battle.net/wow/en/legion/)
18:32:31	225704/225704	---M--	200	added ('OK')	image/jpeg	etag:%22ea95f8531f760dee5b557eb670062e5a:1438785240%22	http://media.blizzard.com/wow/legion-6a153ad2/images/artifact-maw-2.jpg	C:/Users/Niki/Desktop/legion/legion/media.blizzard.com/wow/legion-6a153ad2/images/artifact-maw-2.jpg	(from http://eu.battle.net/wow/en/legion/)
18:32:35	21499/21499	---M--	200	added ('OK')	image/jpeg	etag:%22682407df0101186f86dbc9c28ad7bc6e:1438785239%22	http://media.blizzard.com/wow/legion-6a153ad2/images/artifact-antonidas-1-thumb.jpg	C:/Users/Niki/Desktop/legion/legion/media.blizzard.com/wow/legion-6a153ad2/images/artifact-antonidas-1-thumb.jpg	(from http://eu.battle.net/wow/en/legion/)
18:32:39	244394/244394	---M--	200	added ('OK')	image/jpeg	etag:%2257984eda4ce132f359f2e4751f53b61d:1438785240%22	http://media.blizzard.com/wow/legion-6a153ad2/images/artifact-maw-3.jpg	C:/Users/Niki/Desktop/legion/legion/media.blizzard.com/wow/legion-6a153ad2/images/artifact-maw-3.jpg	(from http://eu.battle.net/wow/en/legion/)
18:32:43	20754/20754	---M--	200	added ('OK')	image/jpeg	etag:%22456cf32cd95089e6bc79119abaeffabd:1438785239%22	http://media.blizzard.com/wow/legion-6a153ad2/images/artifact-antonidas-2-thumb.jpg	C:/Users/Niki/Desktop/legion/legion/media.blizzard.com/wow/legion-6a153ad2/images/artifact-antonidas-2-thumb.jpg	(from http://eu.battle.net/wow/en/legion/)
18:32:51	281656/281656	---M--	200	added ('OK')	image/png	etag:%22b94fcc975bc0695affdfec047936db5c:1438785239%22	http://media.blizzard.com/wow/legion-6a153ad2/images/antonidas-compact.png	C:/Users/Niki/Desktop/legion/legion/media.blizzard.com/wow/legion-6a153ad2/images/antonidas-compact.png	(from http://eu.battle.net/wow/en/legion/)
18:32:55	22922/22922	---M--	200	added ('OK')	image/jpeg	etag:%22eb645a821654617ade4ed58048729648:1438785239%22	http://media.blizzard.com/wow/legion-6a153ad2/images/artifact-antonidas-3-thumb.jpg	C:/Users/Niki/Desktop/legion/legion/media.blizzard.com/wow/legion-6a153ad2/images/artifact-antonidas-3-thumb.jpg	(from http://eu.battle.net/wow/en/legion/)
18:33:05	256622/256622	---M--	200	added ('OK')	image/jpeg	etag:%223d8a134b0f64bd6a3dc8df689f0f3db3:1438785239%22	http://media.blizzard.com/wow/legion-6a153ad2/images/artifact-antonidas-1.jpg	C:/Users/Niki/Desktop/legion/legion/media.blizzard.com/wow/legion-6a153ad2/images/artifact-antonidas-1.jpg	(from http://eu.battle.net/wow/en/legion/)
18:33:17	262606/262606	---M--	200	added ('OK')	image/jpeg	etag:%22e1a230ea53667f70f0bf8367c1e06ecf:1438785239%22	http://media.blizzard.com/wow/legion-6a153ad2/images/artifact-antonidas-2.jpg	C:/Users/Niki/Desktop/legion/legion/media.blizzard.com/wow/legion-6a153ad2/images/artifact-antonidas-2.jpg	(from http://eu.battle.net/wow/en/legion/)
